filename,width,height,class,xmin,ymin,xmax,ymax
wb01.jpg,200,200,wb,25,15,81,108
wb03.jpg,200,200,wb,59,42,89,85
wb04.jpg,200,200,wb,58,48,88,95
wb05.jpg,200,200,wb,43,34,96,114
wb06.jpg,200,200,wb,46,49,96,136
wb07.jpg,200,200,wb,21,54,75,188
wb08.jpg,200,200,wb,10,45,83,137
wb09.jpg,200,200,wb,42,51,94,114
wb10.jpg,200,200,wb,56,50,103,110
wb11.jpg,200,200,wb,60,44,107,97
wb12.jpg,200,200,wb,36,48,87,110
wb13.jpg,200,200,wb,50,49,97,107
wb14.jpg,200,200,wb,58,45,102,121
wb15.jpg,200,200,wb,52,40,106,123
wb16.jpg,200,200,wb,42,50,90,118
wb17.jpg,200,200,wb,66,38,104,107
wb18.jpg,200,200,wb,75,55,123,121
wb19.jpg,200,200,wb,80,42,120,99
wb20.jpg,200,200,wb,57,41,105,107
wb21.jpg,200,200,wb,44,18,97,87
wb22.jpg,200,200,wb,61,39,100,120
wb23.jpg,200,200,wb,38,39,87,111
wb24.jpg,200,200,wb,25,36,83,102
wb25.jpg,200,200,wb,63,38,117,112
wb26.jpg,200,200,wb,49,55,88,114
wb27.jpg,200,200,wb,25,44,46,91
wb28.jpg,200,200,wb,60,42,82,99
wb29.jpg,200,200,wb,26,48,78,121
wb30.jpg,200,200,wb,35,35,82,102
wb31.jpg,200,200,wb,35,26,82,90
wb32.jpg,200,200,wb,49,45,101,107
